ident;iata_code;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality
ISG;ISG;New Ishigaki Airport;24.396389;124.245;102;AS;JP;JP-47;Ishigaki
IT-TQR;TQR;San Domino Island Heliport;42.117775;15.490655;;EU;IT;IT-75;Tremiti Islands
ITK;ITK;Itokama Airport;-9.201527;148.264261;2563;OC;PG;PG-NPP;Itokama
IVI;IVI;Viveros Island Airport;8.4693;-79.0016;100;NA;PA;PA-8;Isla Viveros
JGD;JGD;Jiagedaqi Airport;50.371389;124.1175;1205;AS;CN;CN-23;Jiagedaqi
JIC;JIC;Jinchang Jinchuan Airport;38.542222;102.348333;4740;AS;CN;CN-62;Jinchang
JIO;JIO;Jos Orno Imsula Airport;-8.140402;127.908758;43;AS;ID;ID-MA;Tiakur
JIQ;JIQ;Qianjiang Wulingshan Airport;29.5133333333;108.831111111;2075;AS;CN;CN-50;Qianjiang
JJD;JJD;Jericoacoara - Comandante Ariston Pessoa Regional Airport;-2.906425;-40.357338;89;SA;BR;BR-CE;Cruz
JLA;JLA;Quartz Creek Airport;60.48270034789999;-149.718994141;450;NA;US;US-AK;Cooper Landing
JMB;JMB;Jamba Airport;-14.698193;16.070148;4912;AF;AO;AO-HUI;Jamba
JNZ;JNZ;Jinzhou Bay Airport;40.936032;121.277114;;AS;CN;CN-21;Linghai, Jinzhou
JOP;JOP;Josephstaal Airport;-4.74708333333;145.007083333;250;OC;PG;PG-MPM;Josephstaal
JPN;JPN;Pentagon Army Heliport;38.874908;-77.056682;40;NA;US;US-VA;Arlington
JRA;JRA;West 30th St. Heliport;40.754501;-74.007103;7;NA;US;US-NY;New York
JRB;JRB;Downtown-Manhattan/Wall St Heliport;40.70119858;-74.00900269;7;NA;US;US-NY;New York
JUH;JUH;Chizhou Jiuhuashan Airport;30.7403;117.6856;60;AS;CN;CN-34;Chizhou
K00C;AMK;Animas Air Park;37.203201293899994;-107.869003296;6684;NA;US;US-CO;Durango
K00F;BDX;Broadus Airport;45.47249985;-105.4540024;3280;NA;US;US-MT;Broadus
K05U;EUE;Eureka Airport;39.604198455799995;-116.004997253;5954;NA;US;US-NV;Eureka
K06U;KPT;Jackpot Airport/Hayden Field;41.97600173949999;-114.657997131;5213;NA;US;US-NV;Jackpot
K07;RLA;Rolla Downtown Airport;37.935699462890625;-91.8134994506836;987;NA;US;US-MO;Rolla
K0B8;FID;Elizabeth Field;41.25130081179999;-72.0316009521;9;NA;US;US-NY;Fishers Island
K0K7;HUD;Humboldt Municipal Airport;42.736099243199995;-94.2452011108;1093;NA;US;US-IA;Humboldt
K0S9;TWD;Jefferson County International Airport;48.0537986755;-122.810997009;108;NA;US;US-WA;Port Townsend
K0V7;MVM;Kayenta Airport;36.716444;-110.228444;5688;NA;US;US-AZ;Kayenta
K1B1;HCC;Columbia County Airport;42.2913017273;-73.7102966309;198;NA;US;US-NY;Hudson
